text;;
Mengapa msh ada polisi datang ke sekolah saat UN SMP ya@pemkotdepok @polresdepok @IdrisAShomad. Di bbrp propinsi sudah tidak. #tanyakenapa;;
Pak Wali, mudah2an bisa datang tgl 19 Juni di Rumah Baca kami, undangan resmi sdh dikirim pak...nuhun @IdrisAShomad pic.twitter.com/AGhCvcMpy7;;
Situasi exit Terminal Depok ramai lancar 2016 05 12 08:43 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/aRP3EVuHiN;;
Situasi simpang Sengon ramai lancar 2016 05 12 08:14 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/aUrUv1dFBm;;
Situasi simpang PLN (Beji) lancar 2016 05 12 08:15 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/t8tqNJ43FL;;
Situasi simpang Kodim lancar 2016 05 12 08:42 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/RmZuZzOloL;;
Situasi simpang kartini lancar 2016 05 12 08:44 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/dAonVEoIbz;;
#Depok @PemkotDepok RT @MuhammadShindy: #PKHsummit2016 Jawa Barat cc : @KemensosRI @KhofifahIP @IdrisAShomad @sadiah0913 @pemkotdepok...;;
Situasi simpang Gandul lancar 2016 05 12 08:14 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/VF9r1STs4I;;
Situasi simpang Cinere lancar 2016 05 12 08:15 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/kGHDZCPuKT;;
Situasi ruas Jl Margonda (BALEKA) lancar 2016 05 12 08:45 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/TiO7cHt37N;;
Situasi simpang Al-Huda lancar 2016 05 12 08:22 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatnapic.twitter.com/fXDwYwgO1J;;
@pemkotdepok pak pradi sakit apa pak? Smg lks sembuh&sehat kmbli;;
"#PKHsummit2016 Jawa Barat
cc : @KemensosRI @KhofifahIP @IdrisAShomad @sadiah0913 @pemkotdepokpic.twitter.com/kBhbFwjrbQ";;
semoga Bang @pradi_supriatna cepat sembuh, dan Allah SWT mengangkat penyakitnya. Amin;;
Pagi pak @IdrisAShomad ada titipan bacaan dari warga, semoga bisa dibantu ya  pic.twitter.com/y3lbheVlkR;;
smoga cepat sembuh utk pak wawalkot.;;
Situasi simpang Margonda ramai lancar 2016 05 12 08:39:05 @Dishub_Dpk @pemkotdepok @IdrisAShomad... http://youtu.be/Uz43Q8Bcp6I?a ;;
Situasi simpang Ramanda ramai lancar 2016 05 12 08:36:01 @Dishub_Dpk @pemkotdepok @IdrisAShomad... http://youtu.be/xqijMvMJfoA?a ;;
cepat sembuh ya pak wawali @pradi_supriatna;;
Situasi simpang Siliwangi lancar 2016 05 12 08:31:46 @Dishub_Dpk @pemkotdepok @IdrisAShomad @pradi_supriatna http://youtu.be/qCiVDXP_Yug?a ;;
ketupat sayur padang yg depan ruko itu ya?;;
